Track,Driver,Team,Starting Grid,Year,Target_Tier
34,1,1,16,2019,2
9,16,13,17,2024,2
28,20,15,10,2025,1
11,25,13,18,2021,2
27,33,13,20,2020,2
15,12,0,9,2022,2
34,7,6,20,2022,2
21,8,7,2,2023,0
17,7,6,12,2021,1
3,26,28,20,2020,2
16,25,13,20,2021,2
28,11,28,14,2021,2
1,38,17,2,2020,0
6,8,7,8,2024,1
16,32,6,20,2024,2
30,11,28,15,2021,2
5,7,6,19,2024,2
31,3,12,12,2021,1
3,38,0,20,2022,2
13,34,28,18,2019,2
16,36,12,5,2020,1
32,20,15,7,2021,1
2,3,12,5,2023,2
7,3,12,7,2023,1
15,26,28,17,2021,2
3,19,7,6,2023,1
26,0,22,20,2019,1
18,21,17,6,2022,1
17,11,17,3,2024,1
31,6,2,13,2020,1
20,7,6,20,2024,2
4,32,4,6,2022,1
19,9,6,15,2025,2
9,39,18,19,2024,2
17,37,23,8,2024,1
20,4,12,7,2022,1
3,4,12,2,2025,0
25,21,12,17,2025,2
8,35,13,14,2019,2
8,24,22,9,2019,1
15,26,28,10,2022,2
20,27,13,12,2023,2
28,32,2,6,2021,1
30,7,6,12,2022,1
33,26,28,19,2020,2
7,11,17,2,2024,1
25,17,17,5,2025,1
16,11,17,17,2024,1
16,19,9,12,2021,2
23,1,1,7,2021,2
30,23,28,20,2023,2
2,11,17,7,2024,2
20,20,15,17,2023,1
18,32,6,12,2023,1
18,39,23,14,2025,2
34,3,12,5,2021,1
32,36,12,11,2020,0
30,27,13,7,2023,2
8,5,15,9,2022,2
15,11,17,8,2022,2
13,28,13,18,2021,2
34,8,6,14,2022,1
28,7,6,6,2023,1
34,18,1,15,2021,2
5,12,0,13,2023,2
9,39,19,9,2025,2
32,28,13,18,2021,2
6,13,19,8,2025,2
30,27,14,15,2025,1
23,36,7,19,2022,2
15,27,13,6,2024,1
9,8,7,3,2024,1
16,32,4,20,2022,2
15,36,9,8,2021,2
3,20,15,1,2025,0
6,7,6,16,2022,1
4,0,27,11,2019,2
1,3,28,12,2025,2
29,11,28,18,2019,2
22,4,12,2,2025,0
26,18,1,15,2019,2
17,30,13,11,2025,2
7,39,2,15,2021,2
34,10,14,16,2025,2
33,38,17,2,2020,0
9,27,14,12,2025,2
1,9,6,20,2025,2
34,39,2,10,2021,1
3,7,6,10,2024,2
24,5,15,16,2021,1
7,8,6,17,2022,1
6,27,26,12,2019,1
30,24,23,1,2023,0
6,39,23,7,2025,2
3,22,19,6,2025,1
29,7,6,8,2023,2
22,19,9,13,2021,1
21,20,15,16,2023,2
22,34,28,20,2019,2
25,19,7,15,2024,2
2,7,6,15,2024,2
28,4,12,2,2024,0
11,20,15,5,2022,0
27,19,21,10,2020,0
4,16,13,16,2023,2
3,17,17,9,2025,2
23,21,17,2,2021,0
30,28,13,20,2021,2
15,3,12,10,2021,1
15,3,16,13,2019,1
16,24,22,1,2019,0
5,7,13,14,2025,1
1,24,23,1,2023,0
19,32,6,3,2024,2
34,3,12,4,2023,0
9,5,26,7,2019,1
4,19,7,13,2024,2
5,6,27,15,2019,2
1,4,12,12,2020,2
8,21,17,2,2019,0
20,18,1,10,2021,1
7,37,24,4,2022,1
8,23,28,13,2024,2
2,11,17,6,2022,0
25,9,28,19,2024,2
34,39,4,19,2022,1
4,27,26,15,2019,2
20,16,13,19,2022,2
6,37,23,2,2024,1
9,32,22,6,2019,1
6,31,15,2,2025,0
21,15,6,14,2025,2
5,0,28,13,2024,2
15,5,15,6,2021,1
17,38,17,19,2021,0
33,16,13,20,2020,2
13,38,17,3,2021,1
6,32,6,13,2025,1
17,8,7,8,2025,2
26,5,15,5,2021,1
1,13,19,9,2025,2
26,36,12,3,2019,2
29,26,28,19,2022,2
29,25,13,12,2022,2
4,24,23,2,2023,0
5,29,3,19,2023,2
22,25,13,20,2021,2
17,19,9,9,2021,1
5,37,21,5,2020,2
21,19,7,10,2022,1
11,20,16,9,2020,1
4,4,12,1,2022,2
16,38,17,2,2019,1
19,4,12,1,2023,0
4,11,17,11,2023,1
17,5,15,4,2022,2
1,23,28,20,2023,2
17,18,1,14,2020,2
2,24,23,1,2024,2
32,38,17,9,2020,2
3,34,28,17,2019,2
15,19,21,18,2019,2
18,19,7,17,2023,2
25,26,28,17,2021,2
15,30,13,18,2025,2
5,35,13,11,2019,2
19,5,3,14,2023,2
5,20,16,9,2020,1
2,18,1,9,2019,1
6,21,17,3,2023,1
29,32,6,12,2023,1
18,3,12,4,2024,0
13,36,12,7,2019,1
30,4,12,5,2019,1
25,21,17,1,2021,0
13,1,1,10,2019,2
20,37,21,11,2019,1
1,24,22,2,2019,0
15,10,14,16,2025,2
5,24,22,5,2019,1
6,0,22,17,2019,1
6,27,13,20,2023,2
15,23,28,12,2024,2
3,1,1,18,2020,1
16,5,3,13,2023,2
5,20,16,9,2019,1
32,3,16,15,2020,1
13,6,27,19,2019,2
10,24,22,3,2020,0
8,19,7,17,2022,1
23,3,12,10,2024,1
16,5,26,20,2019,2
17,32,2,20,2021,2
16,26,28,19,2022,2
16,38,0,7,2023,2
4,11,28,15,2021,2
18,32,6,17,2024,2
7,35,13,7,2019,2
5,11,17,3,2025,0
2,13,25,3,2026,2
21,17,17,3,2025,1
25,7,6,9,2021,1
15,20,15,3,2025,0
13,3,12,5,2021,2
28,39,23,8,2025,2
25,28,13,20,2021,2
3,1,1,15,2021,2
20,38,17,1,2021,2
20,21,17,6,2023,0
29,13,19,8,2025,2
1,24,23,1,2025,0
20,37,23,18,2024,2
28,29,3,18,2023,2
28,19,7,13,2022,2
3,3,12,10,2021,1
26,38,17,3,2020,0
23,27,14,17,2025,2
28,31,15,5,2024,1
19,32,6,10,2025,2
17,8,6,10,2021,1
4,26,28,16,2021,2
29,21,17,5,2023,0
5,21,17,5,2022,0
21,23,28,20,2023,2
8,11,17,8,2022,1
5,24,22,1,2021,0
31,38,17,4,2020,0
34,38,0,7,2022,2
8,20,15,7,2025,2
6,38,17,4,2019,0
2,27,14,17,2025,1
15,32,2,11,2021,2
4,37,23,3,2023,0
18,16,13,17,2022,2
30,11,28,18,2020,2
0,24,22,4,2020,0
1,36,9,15,2021,2
13,12,0,16,2022,2
3,16,13,16,2020,2
34,3,28,9,2025,2
5,27,26,17,2019,2
24,0,22,6,2020,2
24,24,22,3,2021,0
20,34,28,20,2019,2
20,1,1,15,2019,2
3,11,17,5,2025,1
30,39,4,13,2022,1
30,20,16,8,2020,1
3,19,21,14,2019,2
3,19,21,9,2020,2
23,31,15,3,2024,1
15,24,22,1,2021,2
13,20,16,5,2019,1
18,36,7,9,2022,1
19,39,18,7,2024,1
22,38,0,15,2023,2
22,4,12,15,2019,2
5,32,2,5,2021,2
28,8,7,13,2025,2
3,18,1,6,2019,1
34,20,15,1,2024,1
5,21,17,7,2023,1
17,32,6,17,2023,2
25,23,28,15,2023,2
6,30,13,12,2025,2
0,21,17,2,2020,0
9,0,28,10,2025,1
18,5,15,11,2022,2
6,12,0,18,2022,2
18,21,12,8,2025,1
20,19,7,19,2025,2
1,7,26,10,2020,1
7,32,6,9,2025,1
34,37,23,9,2024,1
19,11,17,3,2023,1
15,39,4,13,2022,2
30,8,7,8,2023,1
17,20,15,2,2025,0
4,32,6,18,2024,2
9,31,15,1,2025,0
2,38,0,19,2023,2
6,11,17,6,2025,1
32,7,6,12,2021,1
22,4,12,6,2023,1
3,19,9,9,2021,2
24,1,1,17,2020,2
16,39,4,16,2022,2
17,19,7,17,2024,2
5,26,28,20,2022,2
2,32,22,17,2019,2
28,21,17,8,2024,1
22,11,28,15,2021,2
5,39,23,10,2025,1
34,11,28,18,2019,2
2,20,16,8,2019,2
23,38,0,16,2022,2
4,32,6,17,2023,2
3,26,28,18,2021,2
29,0,28,18,2022,2
11,38,14,16,2024,2
19,4,12,4,2024,1
2,37,23,20,2023,1
12,31,15,1,2025,0
17,11,17,5,2025,1
34,39,23,13,2025,1
5,24,22,3,2020,0
3,30,13,15,2025,2
32,0,22,4,2020,1
26,5,26,10,2019,2
3,39,18,14,2024,2
8,38,0,14,2023,1
